Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,PRECIP (in) 
'437054',1854,1,1.86 
'437054',1854,2,3.01 
'437054',1854,3,1.92 
'437054',1854,4,4.01 
'437054',1854,5,1.5 
'437054',1854,6,1.74 
'437054',1854,7,0.53 
'437054',1854,8,0.9 
'437054',1854,9,3.73 
'437054',1854,10,0.85 
'437054',1854,11,2.32 
'437054',1854,12,. 
'437054',1855,1,. 
'437054',1855,2,. 
'437054',1855,3,. 
'437054',1855,4,1 
'437054',1855,5,0.12 
'437054',1855,6,10.25 
'437054',1855,7,3.92 
'437054',1855,8,. 
'437054',1855,9,. 
'437054',1855,10,. 
'437054',1855,11,. 
'437054',1855,12,. 
'437054',1857,1,. 
'437054',1857,2,. 
'437054',1857,3,. 
'437054',1857,4,. 
'437054',1857,5,. 
'437054',1857,6,. 
'437054',1857,7,. 
'437054',1857,8,. 
'437054',1857,9,. 
'437054',1857,10,4.25 
'437054',1857,11,. 
'437054',1857,12,3.84 
'437054',1858,1,. 
'437054',1858,2,1.39 
'437054',1858,3,. 
'437054',1858,4,2.51 
'437054',1858,5,3.15 
'437054',1858,6,4.36 
'437054',1858,7,5.73 
'437054',1858,8,5.42 
'437054',1858,9,. 
'437054',1858,10,5.78 
'437054',1858,11,. 
'437054',1858,12,. 
'437054',1859,1,. 
'437054',1859,2,1.52 
'437054',1859,3,. 
'437054',1859,4,2.42 
'437054',1859,5,1.9 
'437054',1859,6,3.33 
'437054',1859,7,. 
'437054',1859,8,1.78 
'437054',1859,9,3.59 
'437054',1859,10,. 
'437054',1859,11,3.99 
'437054',1859,12,3.53 
'437054',1861,1,2.81 
'437054',1861,2,. 
'437054',1861,3,. 
'437054',1861,4,. 
'437054',1861,5,. 
'437054',1861,6,. 
'437054',1861,7,. 
'437054',1861,8,. 
'437054',1861,9,. 
'437054',1861,10,. 
'437054',1861,11,. 
'437054',1861,12,. 
'437054',1885,1,. 
'437054',1885,2,. 
'437054',1885,3,. 
'437054',1885,4,1.4 
'437054',1885,5,1.51 
'437054',1885,6,. 
'437054',1885,7,5.69 
'437054',1885,8,. 
'437054',1885,9,. 
'437054',1885,10,. 
'437054',1885,11,. 
'437054',1885,12,. 
'437054',1886,1,2.54 
'437054',1886,2,1.44 
'437054',1886,3,. 
'437054',1886,4,. 
'437054',1886,5,2.72 
'437054',1886,6,2.11 
'437054',1886,7,1.33 
'437054',1886,8,2.96 
'437054',1886,9,2.59 
'437054',1886,10,2.19 
'437054',1886,11,. 
'437054',1886,12,. 
'437054',1887,1,. 
'437054',1887,2,. 
'437054',1887,3,2.71 
'437054',1887,4,2.22 
'437054',1887,5,2.67 
'437054',1887,6,4.27 
'437054',1887,7,6.73 
'437054',1887,8,4.17 
'437054',1887,9,1.37 
'437054',1887,10,1.87 
'437054',1887,11,2.96 
'437054',1887,12,4.52 
'437054',1888,1,2.83 
'437054',1888,2,2.09 
'437054',1888,3,4.28 
'437054',1888,4,1.5 
'437054',1888,5,3 
'437054',1888,6,5.03 
'437054',1888,7,1.05 
'437054',1888,8,4.67 
'437054',1888,9,4.29 
'437054',1888,10,4.19 
'437054',1888,11,2.65 
'437054',1888,12,1.9 
'437054',1889,1,3.52 
'437054',1889,2,0.65 
'437054',1889,3,0.7 
'437054',1889,4,1.17 
'437054',1889,5,2.4 
'437054',1889,6,6.4 
'437054',1889,7,4.48 
'437054',1889,8,1.48 
'437054',1889,9,5.77 
'437054',1889,10,3.57 
'437054',1889,11,3.5 
'437054',1889,12,0.7 
'437054',1890,1,3.14 
'437054',1890,2,3.26 
'437054',1890,3,2.87 
'437054',1890,4,1.43 
'437054',1890,5,5.28 
'437054',1890,6,3.66 
'437054',1890,7,3.43 
'437054',1890,8,7.35 
'437054',1890,9,4.26 
'437054',1890,10,4.43 
'437054',1890,11,2.04 
'437054',1890,12,3.68 
'437054',1891,1,4.1 
'437054',1891,2,1.86 
'437054',1891,3,3.3 
'437054',1891,4,2.27 
'437054',1891,5,2.61 
'437054',1891,6,3.17 
'437054',1891,7,3.6 
'437054',1891,8,4.64 
'437054',1891,9,1.41 
'437054',1891,10,1.22 
'437054',1891,11,2.21 
'437054',1891,12,3.46 
'437054',1892,1,3.44 
'437054',1892,2,1.36 
'437054',1892,3,1.7 
'437054',1892,4,1 
'437054',1892,5,4.7 
'437054',1892,6,6.82 
'437054',1892,7,2.59 
'437054',1892,8,7.39 
'437054',1892,9,1.8 
'437054',1892,10,1.76 
'437054',1892,11,2.78 
'437054',1892,12,1.56 
'437054',1893,1,1.38 
'437054',1893,2,3.17 
'437054',1893,3,2.3 
'437054',1893,4,2.25 
'437054',1893,5,3.2 
'437054',1893,6,3.94 
'437054',1893,7,4.77 
'437054',1893,8,6.88 
'437054',1893,9,2.46 
'437054',1893,10,2.37 
'437054',1893,11,1.19 
'437054',1893,12,3.91 
'437054',1894,1,2.06 
'437054',1894,2,1.66 
'437054',1894,3,2.31 
'437054',1894,4,1.86 
'437054',1894,5,3.53 
'437054',1894,6,2.55 
'437054',1894,7,1.63 
'437054',1894,8,2.92 
'437054',1894,9,2.34 
'437054',1894,10,1.78 
'437054',1894,11,1.98 
'437054',1894,12,2.46 
'437054',1895,1,1.89 
'437054',1895,2,0.71 
'437054',1895,3,1.65 
'437054',1895,4,3.55 
'437054',1895,5,3.15 
'437054',1895,6,2.98 
'437054',1895,7,3.19 
'437054',1895,8,4.2 
'437054',1895,9,3.16 
'437054',1895,10,0.52 
'437054',1895,11,6.07 
'437054',1895,12,3.82 
'437054',1896,1,0.67 
'437054',1896,2,3.2 
'437054',1896,3,4.33 
'437054',1896,4,1.15 
'437054',1896,5,1.8 
'437054',1896,6,2.42 
'437054',1896,7,3.8 
'437054',1896,8,3.26 
'437054',1896,9,3.24 
'437054',1896,10,2.41 
'437054',1896,11,3.45 
'437054',1896,12,0.96 
'437054',1897,1,2.15 
'437054',1897,2,1.8 
'437054',1897,3,2.68 
'437054',1897,4,2.85 
'437054',1897,5,4.33 
'437054',1897,6,6.02 
'437054',1897,7,6.41 
'437054',1897,8,3.99 
'437054',1897,9,2.17 
'437054',1897,10,1.17 
'437054',1897,11,5.19 
'437054',1897,12,3.91 
'437054',1898,1,3.68 
'437054',1898,2,2.64 
'437054',1898,3,0.98 
'437054',1898,4,2.46 
'437054',1898,5,2.46 
'437054',1898,6,3.55 
'437054',1898,7,6.6 
'437054',1898,8,5.81 
'437054',1898,9,5.43 
'437054',1898,10,3.19 
'437054',1898,11,2.64 
'437054',1898,12,1.46 
'437054',1899,1,2.22 
'437054',1899,2,2.76 
'437054',1899,3,5.34 
'437054',1899,4,1.39 
'437054',1899,5,1.22 
'437054',1899,6,2.09 
'437054',1899,7,4.35 
'437054',1899,8,3.24 
'437054',1899,9,3.58 
'437054',1899,10,2.4 
'437054',1899,11,2.28 
'437054',1899,12,2.2 
'437054',1900,1,4.07 
'437054',1900,2,4.73 
'437054',1900,3,3.86 
'437054',1900,4,1.48 
'437054',1900,5,2.66 
'437054',1900,6,1.62 
'437054',1900,7,4.21 
'437054',1900,8,3.42 
'437054',1900,9,2.84 
'437054',1900,10,2.7 
'437054',1900,11,6.15 
'437054',1900,12,0.99 
'437054',1901,1,2.07 
'437054',1901,2,0.56 
'437054',1901,3,3.31 
'437054',1901,4,1.74 
'437054',1901,5,3.39 
'437054',1901,6,4.06 
'437054',1901,7,4.96 
'437054',1901,8,4.45 
'437054',1901,9,2.65 
'437054',1901,10,2.31 
'437054',1901,11,1.6 
'437054',1901,12,4.06 
'437054',1902,1,0.89 
'437054',1902,2,1.08 
'437054',1902,3,4.16 
'437054',1902,4,2.55 
'437054',1902,5,5.14 
'437054',1902,6,4.44 
'437054',1902,7,4.48 
'437054',1902,8,6.44 
'437054',1902,9,3.75 
'437054',1902,10,3.98 
'437054',1902,11,1.44 
'437054',1902,12,2.49 
'437054',1903,1,3.24 
'437054',1903,2,2.26 
'437054',1903,3,5.13 
'437054',1903,4,1.24 
'437054',1903,5,0.04 
'437054',1903,6,3.54 
'437054',1903,7,5.91 
'437054',1903,8,2.9 
'437054',1903,9,1.08 
'437054',1903,10,2.65 
'437054',1903,11,1 
'437054',1903,12,2.27 
'437054',1904,1,1.81 
'437054',1904,2,1.01 
'437054',1904,3,1.26 
'437054',1904,4,2.67 
'437054',1904,5,3.63 
