Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,TMAX (F) 
'437054',1854,1,. 
'437054',1854,2,. 
'437054',1854,3,. 
'437054',1854,4,. 
'437054',1854,5,. 
'437054',1854,6,. 
'437054',1854,7,. 
'437054',1854,8,. 
'437054',1854,9,. 
'437054',1854,10,. 
'437054',1854,11,. 
'437054',1854,12,. 
'437054',1855,1,. 
'437054',1855,2,. 
'437054',1855,3,. 
'437054',1855,4,. 
'437054',1855,5,. 
'437054',1855,6,. 
'437054',1855,7,. 
'437054',1855,8,. 
'437054',1855,9,. 
'437054',1855,10,. 
'437054',1855,11,. 
'437054',1855,12,. 
'437054',1857,1,. 
'437054',1857,2,. 
'437054',1857,3,. 
'437054',1857,4,. 
'437054',1857,5,. 
'437054',1857,6,. 
'437054',1857,7,. 
'437054',1857,8,. 
'437054',1857,9,. 
'437054',1857,10,. 
'437054',1857,11,. 
'437054',1857,12,. 
'437054',1858,1,. 
'437054',1858,2,. 
'437054',1858,3,. 
'437054',1858,4,. 
'437054',1858,5,. 
'437054',1858,6,. 
'437054',1858,7,. 
'437054',1858,8,. 
'437054',1858,9,. 
'437054',1858,10,. 
'437054',1858,11,. 
'437054',1858,12,. 
'437054',1859,1,. 
'437054',1859,2,. 
'437054',1859,3,. 
'437054',1859,4,. 
'437054',1859,5,. 
'437054',1859,6,. 
'437054',1859,7,. 
'437054',1859,8,. 
'437054',1859,9,. 
'437054',1859,10,. 
'437054',1859,11,. 
'437054',1859,12,. 
'437054',1861,1,. 
'437054',1861,2,. 
'437054',1861,3,. 
'437054',1861,4,. 
'437054',1861,5,. 
'437054',1861,6,. 
'437054',1861,7,. 
'437054',1861,8,. 
'437054',1861,9,. 
'437054',1861,10,. 
'437054',1861,11,. 
'437054',1861,12,. 
'437054',1885,1,. 
'437054',1885,2,. 
'437054',1885,3,. 
'437054',1885,4,. 
'437054',1885,5,. 
'437054',1885,6,. 
'437054',1885,7,. 
'437054',1885,8,. 
'437054',1885,9,. 
